#{"t_start": 1607735214.9873712, "env_id": null}
r,l,t
-3052.464884,120,0.162182
-3744.233537,111,0.273676
-1398.428575,114,0.382231
-1751.463677,113,0.488699
-3738.015344,104,0.588593
-2748.83227,121,0.703609
-3220.427913,140,0.8293
-2138.5836,125,0.945895
-2102.250654,123,1.074877
-2915.417961,127,1.19903
-1756.095505,136,1.322408
-1776.269195,117,1.432054
-2951.025174,125,1.552138
-2708.481161,134,1.682161
-2725.3983,129,1.807283
-3411.200049,119,1.925326
-2863.774522,128,3.053058
-3812.448234,130,3.201766
-3556.560336,106,3.313972
-3069.619245,97,3.416759
-3914.486533,120,3.530696
-2327.147398,133,3.655623
-3464.093105,110,3.765019
-3095.656809,141,3.902925
-2435.99971,124,4.02754
-1781.993872,122,4.148651
-3061.850658,117,4.265532
-2128.733375,115,4.377266
-3111.025687,141,4.508658
-3386.3141,108,4.61528
-2401.343915,120,4.729769
-2753.09269,108,4.833461
-2296.291303,128,4.952551
-2533.2494,119,6.048587
-3407.446545,117,6.172818
-3593.364537,119,6.295014
-2432.929864,107,6.406449
-1698.611063,122,6.527001
-1965.096058,117,6.641112
-1895.809021,129,6.769629
-3179.613803,125,6.895551
-2232.274918,121,7.016834
-2073.213333,116,7.134086
-3570.010811,111,7.246583
-1881.295721,136,7.380337
-2090.25539,132,7.507101
-1830.003392,112,7.61647
-2937.631712,114,7.727082
-3347.388601,117,7.843337
-2953.774908,120,7.967275
-2150.475261,114,9.084134
-2446.55498,125,9.210173
-3003.942738,101,9.311655
-2388.020196,109,9.417769
-1700.626559,119,9.541487
-3377.249681,120,9.660771
-2445.799936,118,9.774129
-2488.599401,111,9.8826
-2261.446457,108,9.986851
-3323.839581,111,10.092064
-1987.088227,147,10.222363
-3813.325727,126,10.338878
-2730.318623,111,10.444638
-3110.668197,95,10.538085
-2208.184723,115,10.647019
-1945.045063,144,10.775995
-3262.995993,105,10.876997
-3172.049165,132,10.996683
-3146.425186,143,12.027895
-3108.61713,109,12.138849
-1809.871735,121,12.251778
