#{"t_start": 1607709939.214944, "env_id": null}
r,l,t
-1905.585968,75,1.061893
-2053.90757,75,1.677064
-1862.730182,69,2.271005
-2307.476014,80,2.851186
-1798.695937,72,3.363046
-1488.185175,71,3.893214
-1018.234099,92,4.462192
-1882.53262,80,4.985112
-1751.633391,65,5.507298
-1639.133413,65,6.010226
-1769.598594,70,6.518709
-1729.726578,73,7.071406
-1153.221197,73,7.579876
-861.803385,77,8.136708
-1774.107243,82,8.67669
-2610.867205,82,9.197122
-2547.345793,81,9.735481
-1524.589637,66,10.304764
-1312.81035,71,10.878418
-1707.56763,68,11.372187
-1759.743954,81,11.893397
-2318.258313,78,12.451627
-1855.357083,92,13.041276
-2240.958384,86,13.591964
-1503.388019,80,14.107784
-1312.425168,69,14.627756
-2606.916897,77,17.279754
-871.36143,73,17.79279
-1279.799556,84,18.329705
-1869.859098,87,18.89657
-2088.112602,76,19.415496
-1334.455396,71,19.925637
-1338.20744,66,20.430356
-1664.868095,74,20.976214
-2371.898222,73,21.478099
-2044.977945,80,22.058277
-1816.85356,79,22.5617
-2327.562995,82,23.096164
-1537.494919,66,23.598032
-1556.791063,82,24.131721
-1616.835815,63,24.701827
-2167.57032,74,25.261925
-1639.362718,69,25.764671
-2299.993602,72,26.247591
-1744.149069,75,26.772054
-1623.091447,70,27.276901
-2238.502405,78,27.843708
-882.634766,88,28.375145
-1482.400894,62,28.888741
-1851.126564,76,29.413405
-2768.600019,85,29.929094
-1117.302098,68,30.430788
-675.996441,84,30.994607
-2183.399442,83,31.579863
-2222.066814,77,34.195319
-1687.817119,70,34.744248
-1804.965062,64,35.237593
-1506.82974,77,35.798694
-1383.15126,64,36.329339
-1518.234251,80,36.87521
-2005.634811,63,37.344717
-1183.660146,67,37.8581
-1718.879569,71,38.424734
-1552.318239,79,39.006401
-2007.374461,88,39.61168
-1409.021517,82,40.152974
-1935.890092,82,40.709535
-1352.519577,66,41.21879
-1377.300044,80,41.785519
-1629.490786,70,42.271768
-1312.773719,70,42.795938
-2108.723445,90,43.499319
-1282.825802,70,44.028329
-1705.668674,92,44.645152
-1412.777792,65,45.145008
-2690.179091,72,45.713539
-1715.870977,65,46.321751
-1679.769634,71,46.844895
-1938.451988,85,47.397633
-1909.475769,80,47.921618
-2268.676538,74,48.512903
-1867.684249,66,52.598583
-1606.967116,88,53.170882
-1572.046354,66,53.647988
-1512.218998,74,54.413104
-1781.214814,73,55.023937
-1493.77527,71,55.561055
-2011.283525,69,56.08479
-1412.378283,72,56.582908
-1884.29384,73,57.088934
-1984.596045,85,57.643521
-2128.591067,79,58.19284
-1888.904392,70,58.722948
-1537.149338,81,59.247199
-1542.857366,64,59.72927
-1912.43905,68,60.246658
-1917.632687,71,60.751619
-2163.055314,73,61.250773
-1628.74283,86,61.774768
-2249.303846,86,62.314843
-2212.483685,70,62.883554
-2245.967454,74,63.64279
-1509.919522,77,64.264797
-1448.115834,70,64.801981
-1708.677028,75,65.431767
-1947.679801,77,65.986329
-1380.799139,70,66.612195
-2669.291172,84,67.28128
-2364.215098,85,71.808263
-2103.648805,63,72.300541
-1271.073506,68,72.841897
-2084.227027,66,73.339934
-2589.853983,77,73.864612
-1729.529648,73,74.421091
-1635.351624,70,74.944817
-920.249146,71,75.480042
-2311.468338,83,75.99672
-1743.240476,67,76.510068
-1375.430251,72,76.998242
-2259.644595,82,77.544492
-1875.457092,70,78.041983
-1894.807998,78,78.562637
-891.262893,69,79.062656
-1664.075025,67,79.572942
-2167.884396,77,80.078749
-1779.229358,71,80.579126
-2117.603248,76,81.107621
-1726.287386,69,81.591465
-2177.681856,89,82.163766
-1829.400482,65,82.612742
-2078.321105,81,83.141049
-2039.192782,72,83.713935
-1644.162614,61,84.243823
-2187.21901,72,84.951429
-1655.589048,60,85.486286
-1354.617565,68,86.027314
-1725.17597,75,86.67907
